Symbol,odds.ratio,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
SLAMF7,1.418863154378107,0.34985595545705905,0.04490211899016266,7.791524394064942,6.620552786878179e-15,2.9539783621293935e-10,0.8905742806265218,+++++-++++-+-+++,13,16
GBP5,1.3982979059732294,0.33525571551168326,0.04333476705037753,7.73641439267325,1.0225978336723764e-14,2.9539783621293935e-10,0.5764525373309666,+++++-+...-..+.+,8,10
GZMB,1.3564192601300276,0.30484833061562133,0.040858887513024404,7.4610041822221955,8.586552538178866e-14,1.653598287802486e-9,0.5049573994717259,++++-+++++++-+++,14,16
CD274,1.589854943271048,0.463642781423232,0.06261870654909557,7.404221629198258,1.319219435554486e-13,1.9054145917431218e-9,0.9157770962027465,+++++++...-..+.+,9,10
GBP4,1.4741697485269802,0.38809494895944857,0.05398638595542218,7.1887558704134715,6.538436220844776e-13,7.55503228446172e-9,0.47645738994192416,+++++++...-..+.+,9,10
NUP210,1.5991962753580744,0.46950117513560463,0.0673457825412166,6.971500774354549,3.135775939537506e-12,3.019438652180664e-8,0.41768504578847654,++++--++++++++++,14,16
NOL7,2.017407454837911,0.7018132489018759,0.10102300905176666,6.947063401588539,3.729681143713558e-12,3.078265691384387e-8,0.5814241493533551,++++-+++++++++++,15,16
MCM5,1.7488668496315949,0.5589680637111403,0.08168626743800007,6.8428645504631165,7.762504258238857e-12,5.605886512693646e-8,0.3977076606376754,+++-++++++.+++++,14,15
NKG7,1.3477153221159108,0.2984108048133907,0.04382740889346619,6.80877132250175,9.843580043524407e-12,6.318922149273101e-8,0.595114180202877,++++++++++.--+++,13,15
CXCL10,1.2442003340106198,0.21849302155286923,0.032251176418778456,6.774730283192096,1.2463856079315444e-11,7.200868211263704e-8,0.6140428206178357,+++++-++++.+-+++,13,15
EPSTI1,1.538909767560449,0.4310742225728931,0.06406822365943471,6.728362329262315,1.7158323071175977e-11,8.483485980878712e-8,0.8381423371029635,+++++++...-..+.+,9,10
CD2,1.357969611401545,0.3059906514203997,0.04550391096266436,6.724491256838625,1.7620699929128076e-11,8.483485980878712e-8,0.9189771523321725,++++++++++-+-+++,14,16
CXCL9,1.2417987353624107,0.21656092155742226,0.03266632509000553,6.629485286781784,3.3685940856885584e-11,1.4088503791999987e-7,0.4091681640850762,+++++-++++-+-+++,13,16
GMPS,1.663938160371769,0.509187178470327,0.07682933933073349,6.627509528337705,3.4139760634195287e-11,1.4088503791999987e-7,0.5027889690984504,++++-+++++++++++,15,16
ITGAE,1.7908889927943137,0.5827121405850105,0.08811747296422348,6.612901175929059,3.7686005496737554e-11,1.420805713262159e-7,0.4537207222543169,++++--++++-++-++,12,16
TOPBP1,2.1040584510187252,0.7438680753920172,0.11259618429258478,6.606512290496916,3.934796173398855e-11,1.420805713262159e-7,0.2868239660061544,++++-+++++.+++++,14,15
WARS,1.5069928731207278,0.4101161904498499,0.06230295072742064,6.582612631689537,4.6225237548295275e-11,1.5709511024207124e-7,0.7240836001508821,+++...+...-....+,5,6
FANCL,1.6525627348772929,0.5023272556402256,0.07744576767796414,6.4861808553439415,8.803947810901021e-11,2.825773782372198e-7,0.6391759289911042,++++++++++-+++++,15,16
PIM2,1.4141393949605698,0.3465211446243837,0.05371704148287018,6.450860566006521,1.1121679046846999e-10,3.3635370132747003e-7,0.7410541917648701,+++++++---.--+++,10,15
RBM15,1.9147481287561035,0.6495860885286464,0.10085174965487513,6.440999692633946,1.1868911321308762e-10,3.3635370132747003e-7,0.3627190334804697,++++++++++.+++++,15,15
PARP14,1.5770039840169612,0.455526834304255,0.07077244092713537,6.436500258246683,1.2225962765044605e-10,3.3635370132747003e-7,0.5930536682126372,++++--+...-..-.+,6,10
HSH2D,1.4245594236366113,0.35386258952037797,0.055241613478452425,6.405725090893767,1.4965641198718204e-10,3.9301134300670246e-7,0.8679504126505222,+++++++......+.+,9,9
IRF4,1.3135032834306282,0.2726978298971875,0.04297113335504839,6.346070224492928,2.2088443826009147e-10,5.527756315192558e-7,0.9883303711127441,+++++++--+++-+++,13,16
USF1,2.2346278904244277,0.8040747222240819,0.12682384586176632,6.340090988097744,2.2962950732963167e-10,5.527756315192558e-7,0.6887856616922505,+++-+-+...+..-.+,7,10
CD3D,1.3278840713616902,0.2835867515823762,0.04501806970428849,6.299398295954952,2.9880328130360544e-10,6.9052243096138e-7,0.8422379419346453,++++++++++.+-+++,14,15
DHTKD1,1.4940182025632536,0.40146927041368213,0.0639089831087478,6.281891072035058,3.3447917995837284e-10,7.432384670351935e-7,0.5199448691518498,++++--++++++++++,14,16
SEL1L3,1.4644885792883622,0.38150608888608156,0.060915408347723,6.262883221734852,3.77923643896731e-10,7.811560715981341e-7,0.6234157938796319,++++--++++++--++,12,16
SNRPD1,1.559415891515736,0.44431132263003237,0.07095590521913553,6.261794860594769,3.8057137811116265e-10,7.811560715981341e-7,0.4223304533302858,++++-+++++.+++++,14,15
KIF2A,1.9948604292215917,0.6905740876045625,0.11036580368237503,6.257138212774546,3.921058967069251e-10,7.811560715981341e-7,0.4439636786460068,++++--++++.+++++,13,15
