Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
PPP1R12A,0.6280566565309921,-0.4651248991772454,0.1073962791408043,-4.330921917391877,1.4848633391823756e-5,0.08701188945309285,0.9653262728949337,-------,7,7
AKAP5,0.6268997083103914,-0.46696870599121787,0.11024858936583871,-4.235598012430546,2.2794424852484084e-5,0.08701188945309285,0.4023224445311589,---.+--,5,6
SLAMF7,0.8184541600535532,-0.20033788856083595,0.049140440038249564,-4.076843601825675,4.5651176228711854e-5,0.08701188945309285,0.6408339533067847,-------,7,7
VEZF1,0.6399805990010161,-0.44631741714881235,0.10953158245511006,-4.074782881291148,4.605729711851273e-5,0.08701188945309285,0.8356659152863103,-------,7,7
OGG1,0.5863056949660655,-0.5339139616597469,0.13150181191627416,-4.060126274151146,4.9046183630551775e-5,0.08701188945309285,0.7345756303568365,-----+-,6,7
LRRK2,0.6510599499728568,-0.4291535519614969,0.1060148909619948,-4.048049741572095,5.164617219868614e-5,0.08701188945309285,0.3838389934524472,----..-,5,5
MST1L,1.3667880995484636,0.3124635344230734,0.07840265007907994,3.9853695520229304,6.737518378318908e-5,0.08701188945309285,0.9284925525790085,+-..++.,3,4
RBMXL1,0.5960762880987648,-0.5173866199423968,0.1312044464176127,-3.9433619368020407,8.034725482761949e-5,0.08701188945309285,0.553560683153994,---+..-,4,5
HERPUD1,0.6699162711493123,-0.40060254284019287,0.10441750627435728,-3.8365457779427197,1.2477694588979352e-4,0.09949378443606462,0.45375173406696656,---.---,6,6
PDCD1LG2,0.7291501684779901,-0.3158755757617789,0.08324115617606719,-3.7947043298348233,1.478195042790567e-4,0.11237426546236758,0.5578422015226298,---+---,6,7
TXNDC5,0.6386085322459425,-0.4484636379295419,0.11826082634638539,-3.7921571477607814,1.493443554924397e-4,0.11237426546236758,0.5481484532676419,-.-...-,3,3
HEXIM1,0.611778545563821,-0.4913849156085293,0.13081629414980445,-3.7562974765652606,1.7244570021987784e-4,0.1228365211806234,0.9951365046365408,-------,7,7
TMUB2,0.5259880040673021,-0.6424768724601865,0.17194554348745383,-3.736513662577509,1.8658931518350118e-4,0.12945905940731647,0.6479478650828397,-------,7,7
ARHGEF6,0.7082810811117715,-0.3449142568549156,0.09242726463324334,-3.7317371472969048,1.9016387207092071e-4,0.13024762437842138,0.71425142448275325,---+---,6,7
CENPC,0.5618358628233828,-0.5765455307791179,0.155565461291326,-3.7061281211992574,2.1045186837849228e-4,0.14053975770315713,0.8996028556766648,--.----,6,6
N4BP2L1,0.6955081310998011,-0.36311257667360547,0.09904094756146761,-3.6662873853084608,2.460973487755542e-4,0.14969153559681073,0.5712600433899014,-------,7,7
MLX,0.5737537211842442,-0.5555550319042415,0.15271700388227993,-3.6378073022731927,2.749690216655536e-4,0.16170912419855324,0.7005963235438197,-------,7,7
APOL3,0.7696980701842399,-0.2617569576760856,0.07204699645351678,-3.6331418457529416,2.799909952820433e-4,0.16170912419855324,0.5131300586398896,-------,7,7
RHBDD1,0.5524641542761812,-0.593366726833105,0.16364354191332478,-3.6259709359467838,2.878777343439522e-4,0.16189031662727688,0.6967898356170997,----..-,5,5
ZNF143,0.5562793442796266,-0.5864846931319915,0.16264206015765792,-3.605984162789622,3.1097210276999186e-4,0.16781185473115195,0.877522375671147,-------,7,7
ACOX1,0.5903859266318204,-0.5269788429857044,0.14633388164867026,-3.601208667797907,3.1674122178508617e-4,0.16921583032646445,0.3142412281181001,-------,7,7
GRB2,0.5892663615048722,-0.5288769708905902,0.14705781118055514,-3.596388159492214,3.2266621692605204e-4,0.17067445517878618,0.809710804705,-------,7,7
SYNRG,0.6129280377375631,-0.4895077435136601,0.13624596184890433,-3.592823867004001,3.271137056940963e-4,0.1713306138529549,0.8073148141144156,-------,7,7
PTPN1,0.6204327913808859,-0.47733799385267633,0.13451196255042627,-3.5486657454256556,3.871882353109011e-4,0.18462664483245772,0.4611679360163622,-------,7,7
IGKV1-17,0.8950815839053483,-0.11084040966015814,0.031248162022464224,-3.547101732910731,3.894941564842828e-4,0.18462664483245772,0.5403071327500656,---.--.,5,5
CNP,0.6307765820193577,-0.46080354883830865,0.13047127641824202,-3.5318390490880547,4.1268045153384424e-4,0.19006069347193186,0.5653758668324574,-------,7,7
PPM1D,0.632867335783915,-0.4574944589231408,0.1306773600097844,-3.500946597703582,4.6360873330413097e-4,0.20989688955966013,0.5704789423457015,---.---,6,6
DIDO1,0.5964988669895152,-0.5166779368767913,0.14786552986794985,-3.494241946302201,4.754099619059006e-4,0.21343110760387257,0.691059587187452,-------,7,7
DEPDC5,0.5831315930159682,-0.5393424010933743,0.1550643512836133,-3.4781843578406684,5.048225932837288e-4,0.22106264117696664,0.44844615803501836,----+--,6,7
STT3A,0.6811651143347555,-0.38395054357962655,0.11059999032759149,-3.471524205765161,5.175126731234845e-4,0.22252868581721422,0.6059140749311474,-+-----,6,7
ARCN1,0.6517934501730915,-0.42802756145842075,0.12363681571986741,-3.4619749705316964,5.362270212197123e-4,0.22380775298157743,0.5247433664362142,-+-----,6,7
EIF4ENIF1,0.5058907703171639,-0.6814345019361358,0.1983540268057425,-3.4354457679021406,5.91579855001655e-4,0.23417564487857015,0.30441952431490465,---.---,6,6
FKBP11,0.7470742855635363,-0.29159065359482195,0.08506758348881802,-3.4277528717287593,6.085992041187737e-4,0.23643093196288323,0.8628831283485972,-------,7,7
CD38,0.838970244373893,-0.17558003872919767,0.05128607245475254,-3.423542305449579,6.181062985534656e-4,0.23685092216499254,0.7366016145398548,-------,7,7
BTN3A3,0.7499022062076032,-0.2878124726767165,0.0847254671148888,-3.3970007186438895,6.812878804231657e-4,0.2426474914915147,0.9049801235855017,---.---,6,6
GPR155,0.6901987811156923,-0.37077563430690974,0.10944721428547675,-3.3877119370055113,7.047824279052358e-4,0.24771247650269287,0.7218541017358105,----..-,5,5
NR2C1,0.6369726331865632,-0.4510285863633812,0.133388546755463,-3.3813141932660655,7.214000349764738e-4,0.25125392305778416,0.7684134539962906,---.---,6,6
IKZF4,0.6217196832143258,-0.47526595789866755,0.14070762597229103,-3.3776844333388136,7.309891475996287e-4,0.2519507369120166,0.7409547346908081,----+--,6,7
LINC00905,2.0431959660657406,0.7145152319724095,0.21211109359805233,3.368589637873473,7.555382498687505e-4,0.25546756620878563,0.7464967350208281,++.+...,3,3
SLFN11,0.708607318336061,-0.34445375872368406,0.10248054483977966,-3.361162445635029,7.761516252554588e-4,0.25754735669346357,0.8393270441186239,----..-,5,5
NACA4P,0.2768292340066866,-1.2843544466294017,0.3826942770708253,-3.3560848007970234,7.90543246633297e-4,0.258497423156024,0.5763634200802341,.-..--.,3,3
ZNF22,0.7022931281732762,-0.35340440061047507,0.10533532674236198,-3.355041575699113,7.935305742285852e-4,0.258497423156024,0.9351193741356434,-------,7,7
TUBD1,0.6085324661003185,-0.4967050136634359,0.1481328216216695,-3.353105734609026,7.991017292024486e-4,0.25873461079340376,0.737760091547027,-------,7,7
BTN2A2,0.6330952447650388,-0.45713440249321513,0.13643245542082955,-3.350627979854001,8.062854225137599e-4,0.2594879060986452,0.3036849812701253,-----+-,6,7
UBE2L6,0.7767958314876281,-0.25257772828148506,0.07556928500671141,-3.3423331749010634,8.307727673495021e-4,0.26206117280784985,0.8468260204613165,-------,7,7
KCNA2,0.8471209049061763,-0.16591184964564373,0.05000019475398059,-3.3182240681659594,9.059178053022563e-4,0.274987231991294,0.5899632931989784,---+-+-,5,7
RAB30,0.6942545499534994,-0.36491659904860974,0.11027115305680384,-3.3092661945833712,9.354085588313736e-4,0.27727591617813296,0.9028057737114124,---.+--,5,6
CREBL2,0.6721032193925414,-0.3973433499677838,0.12012338149220847,-3.307793578834247,9.403409310872232e-4,0.27727591617813296,0.3444634711083505,-------,7,7
NMT1,0.6341017495065135,-0.4555458492411408,0.13793272045665886,-3.3026670374726796,9.577002996000899e-4,0.27727591617813296,0.5789100706801067,---+---,6,7
APPBP2,0.6322373278546646,-0.45849043656742133,0.13894147377199897,-3.299881771225471,9.672556786642233e-4,0.27727591617813296,0.9774492657618483,-------,7,7
RPS6KB1,0.622839838424017,-0.47346587442706856,0.14352113928700697,-3.2989277870784828,9.705487482275918e-4,0.27727591617813296,0.4700319930774933,---+---,6,7
PKD1L1,0.7198216797255381,-0.32875176469444783,0.09999517179199453,-3.2876763827987863,0.0010101788705663677,0.281120760556381,0.8028069063397656,--.-..-,4,4
TNRC6B,0.6559315537442334,-0.42169883428624194,0.12871293588889263,-3.276273914303844,0.0010518649100839641,0.281120760556381,0.853079587133906,-------,7,7
POLR2D,0.5931029447435239,-0.5223872951463694,0.15975693726998402,-3.2698880190946067,0.0010759006673495837,0.281120760556381,0.27254189566990383,-------,7,7
MCPH1,0.61316879457005935,-0.48911502276070384,0.14992848143220971,-3.262322262510593,0.0011050344361492965,0.281120760556381,0.6858755281271064,----+--,6,7
FAM155A,0.7941111856552695,-0.23053179522718764,0.07076128397737157,-3.2578803304488986,0.001122477307402784,0.2828642814655016,0.7883476802718967,-..+..-,2,3
CD200,0.7512441509110833,-0.28602457897190336,0.08785599530037326,-3.255606837006469,0.0011315031712796967,0.28296586254457595,0.7531768939104775,---+---,6,7
SP140L,0.7309765384545706,-0.3133739148848048,0.09651055486916006,-3.2470429302748047,0.0011661079887083277,0.28648028188506447,0.4087149686945255,-----+-,6,7
ELP3,0.6169786524102854,-0.48292085468619156,0.14895162900481806,-3.2421320794723956,0.001186390249832895,0.28648028188506447,0.8772957622895897,-------,7,7
SNTB2,0.658055300970444,-0.41846630716029093,0.12910677965599457,-3.241241926065353,0.0011901013763155137,0.28648028188506447,0.7184853878828092,---.---,6,6
THTPA,0.723473965144684,-0.32369071815421163,0.09988860645797562,-3.2405169081059544,0.0011931319610530417,0.28648028188506447,0.9077313575826338,-------,7,7
KIAA0100,0.6530848598578538,-0.42604820430846363,0.1316720662629953,-3.2356764528741877,0.0012135485326171572,0.28672313751348844,0.8479623935537935,---.---,6,6
IGKV4-1,0.9006784364766618,-0.1046069813287415,0.032340384330503104,-3.234562096099684,0.0012182942538103076,0.28672313751348844,0.8740025610356565,---.--.,5,5
POU2AF1,0.8770783829082409,-0.1311589144256128,0.040599327853924054,-3.230568616739695,0.0012354424619182762,0.2892326378082544,0.8354339216551929,-------,7,7
